source_id,ra,dec,fe_h,e_fe_h
77863462880768,44.660728454589844,0.51747065782547,-0.298226922750473,0.01157705020159483
83154862613888,44.93731689453125,0.6237933039665222,-0.0045381225645542145,0.010113859549164772
92603790642688,44.41498565673828,0.5678912401199341,-0.0978759229183197,0.010199734941124916
115727894578176,45.10560989379883,0.812321126461029,0.13677307963371277,0.01018975954502821
176475911875200,46.09756851196289,0.9405835270881653,-0.43934693932533264,0.010824549943208694
290653322568704,44.448490142822266,0.7917959094047546,-0.31778693199157715,0.01157005038112402
1127175513111936,43.576236724853516,1.2669270038604736,-1.404546856880188,0.015584000386297703
9919042287151872,51.5156364440918,7.3266191482543945,-0.2708769142627716,0.010975699871778488
10127021782881280,52.117279052734375,8.21939754486084,-0.39179691672325134,0.011729950085282326
10813357557424768,50.944366455078125,8.08363151550293,-0.5838369131088257,0.01103730034083128
10862491983356800,51.10923385620117,8.171833992004395,-0.24266692996025085,0.011226450093090534
11000068375834368,49.6973762512207,8.054747581481934,-0.3623269200325012,0.010763599537312984
11210487413640832,50.1783447265625,9.035802841186523,-0.2785869240760803,0.010487454943358898
12785366021729280,51.44081497192383,9.865453720092773,-0.002362022642046213,0.010373749770224094
18565464288396416,39.071678161621094,6.878089904785156,-0.3818969130516052,0.011353500187397003
18818008365995520,41.263614654541016,7.333090305328369,-0.051396921277046204,0.013051450252532959
19007124366205696,40.815696716308594,7.4160332679748535,-0.0647699236869812,0.010449869558215141
19107351722841216,40.87080764770508,7.877191543579102,-0.7366669178009033,0.030946999788284302
19115456325700736,40.92691421508789,8.032388687133789,-0.4648169279098511,0.010141665115952492
19134255397972224,40.91309356689453,8.203242301940918,,
19139851739930752,40.782474517822266,8.334921836853027,-0.11748692393302917,0.0106260497123003
19316224572460416,39.028385162353516,6.893339157104492,-0.11727692186832428,0.010439720004796982
19846189177062016,40.16271209716797,7.873276710510254,0.013772076927125454,0.030645499005913734
19873367730098560,40.2266960144043,8.240286827087402,0.011534077115356922,0.010134384967386723
19898381619625216,40.20854949951172,8.344709396362305,-0.02542192116379738,0.010515050031244755
19905219207554816,40.26048278808594,8.496729850769043,-0.43611693382263184,0.010770450346171856
20325503231692672,42.27029037475586,7.8426513671875,0.14973308145999908,0.010317699983716011
20694526821675520,42.09352111816406,8.55894660949707,-0.12455692887306213,0.010158984921872616
20720953756154624,42.0921745300293,8.86782455444336,-0.0257969219237566,0.010728700086474419
21407255170182016,40.86282730102539,8.720248222351074,-0.29985693097114563,0.014781249687075615
21460066088035584,41.00722122192383,9.177948951721191,-0.2901769280433655,0.010168739594519138
21593450592382976,41.63532257080078,9.66440200805664,-0.5277369022369385,0.011476350016891956
23139844977481216,38.04541015625,9.013765335083008,0.05411507934331894,0.01013793982565403
24784984955103360,39.4257926940918,9.931215286254883,-0.23556692898273468,0.011575950309634209
28239998382321152,42.99331283569336,11.368016242980957,-0.6003769040107727,0.011514449492096901
30321099016072320,49.61317443847656,15.176106452941895,-0.0615939199924469,0.010572600178420544
33318539511972096,41.793399810791016,15.307328224182129,0.16372308135032654,0.010597050189971924
36032512167916672,56.29764175415039,9.754944801330566,-0.5196568965911865,0.010708300396800041
36164625361808128,56.352447509765625,10.673683166503906,0.23853307962417603,0.010091625154018402
36629890579758592,58.14386749267578,11.260748863220215,0.08910991996526718,0.02954999916255474
36652911604373760,57.855743408203125,11.512284278869629,0.0841800719499588,0.010722099803388119
36825260051452800,57.7495002746582,11.99183177947998,-0.6749910712242126,0.021263999864459038
36856557476150656,58.20624923706055,12.261601448059082,-0.2683369219303131,0.013997550122439861
36865220427191296,58.415584564208984,12.416646003723145,-0.021700922399759293,0.010255995206534863
37622955737490688,55.36802673339844,12.607559204101562,-0.09371892362833023,0.01024417020380497
37637077589965184,55.08506774902344,12.714035034179688,-0.2921469211578369,0.014364100061357021
37845057086241152,56.16501998901367,12.994161605834961,0.1881030797958374,0.01586350053548813
38047435945302144,56.15260696411133,13.307507514953613,-0.04330892115831375,0.011200499720871449
38098700674849152,55.30958557128906,13.38447093963623,-1.9858510494232178,0.05278550088405609
38231324967885056,55.775875091552734,13.856432914733887,,
38329666836450304,59.56044387817383,12.627968788146973,-0.13744692504405975,0.011664499528706074
38392442078351744,58.99700164794922,12.845124244689941,0.11323307454586029,0.016692999750375748
38453464973610496,59.649620056152344,13.10499382019043,0.09565107524394989,0.010147174820303917
38625985220078464,58.8199462890625,13.355074882507324,-0.2566169202327728,0.018543999642133713
38670343642226816,58.444400787353516,13.391924858093262,-0.11347692459821701,0.011474300175905228
38711811549178240,59.24652862548828,13.436870574951172,-0.4940169155597687,0.015013500116765499
38847365014725120,60.507450103759766,13.432130813598633,-0.12353692203760147,0.011544100008904934
38929141191925760,60.18788528442383,13.906261444091797,0.08997107297182083,0.010621150024235249
39235149021617024,59.705387115478516,14.591007232666016,0.9994930624961853,0.011328550055623055
39298714537949184,60.37645721435547,15.003567695617676,-0.3471869230270386,0.011501950211822987
39325480773830016,60.609554290771484,15.13408088684082,0.009555277414619923,0.010455264709889889
39496867148963840,57.235107421875,13.826632499694824,-0.11224692314863205,0.012466799467802048
39527339939738112,57.753623962402344,14.2274169921875,0.280783087015152,0.01173780020326376
39684127722620672,58.313838958740234,14.910046577453613,0.2110830694437027,0.012245750054717064
39742711076522624,57.11311340332031,14.440701484680176,0.0719870775938034,0.025909999385476112
39807135585937408,57.04610824584961,14.755658149719238,-0.11760692298412323,0.010251564905047417
39925023848663040,57.13770294189453,15.201618194580078,-0.06354192644357681,0.011163749732077122
40031264159932160,59.438602447509766,15.140069961547852,-0.17585691809654236,0.014655649662017822
40163308634681472,59.902137756347656,15.598686218261719,0.18151307106018066,0.010343000292778015
40215982113230080,59.78600311279297,15.755782127380371,-0.5142168998718262,0.012144099920988083
40470720915966208,58.722373962402344,16.315521240234375,0.16584306955337524,0.013162950053811073
40704646312129152,54.13185119628906,13.09524917602539,1.013388991355896,0.03060399927198887
40797933001706112,53.96843719482422,13.482988357543945,-0.9122511148452759,0.020360499620437622
41024501115990400,53.77623748779297,14.117789268493652,-0.035402920097112656,0.011663000099360943
41120845823080576,54.63923263549805,13.626123428344727,-0.18183693289756775,0.012643699534237385
41201178891455872,54.821109771728516,13.891054153442383,-0.07428307831287384,0.011133450083434582
41231857840570368,54.78720474243164,14.287666320800781,-0.23042692244052887,0.01057169958949089
41238149969516544,55.55025863647461,13.98680305480957,-0.15459692478179932,0.025617500767111778
41437780049517440,54.2608642578125,14.577756881713867,0.00011366741091478616,0.010985350236296654
41531375977031552,54.97431564331055,14.76591682434082,1.0134389400482178,0.040123000741004944
41641739456522752,54.704410552978516,15.347143173217773,-0.27488693594932556,0.014792350120842457
41657476216684160,54.78702926635742,15.626777648925781,-0.6109369397163391,0.013654199428856373
42248498076777728,53.47235107421875,14.858285903930664,-0.4546810984611511,0.027402998879551888
42263307123999488,53.76560974121094,14.965590476989746,-0.32153692841529846,0.014383699744939804
42339310865156224,53.65971374511719,15.409972190856934,-0.04871091991662979,0.011617300100624561
42358208721260032,53.376041412353516,15.53648853302002,-0.20714692771434784,0.020092500373721123
42431429321344256,54.48409652709961,15.944269180297852,-0.21558693051338196,0.012670249678194523
42471041805029888,54.196800231933594,15.868839263916016,0.02763107791543007,0.0107677998021245
42627623429330816,52.55577850341797,15.979731559753418,-0.015274922363460064,0.011853150092065334
42644116104343040,53.477718353271484,15.783530235290527,-0.28124693036079407,0.019546499475836754
42775954420319232,53.478363037109375,16.690887451171875,-0.42857691645622253,0.018590500578284264
42821240554865408,56.61569595336914,14.902487754821777,-0.06404592841863632,0.019514501094818115
42830620763418752,56.88671112060547,15.056853294372559,-0.2807769179344177,0.016159500926733017
43188236920214912,55.67006301879883,16.131624221801758,-0.19729693233966827,0.01298339944332838
43335537119385216,55.93925476074219,16.665889739990234,0.4845488965511322,0.02796749956905842
43711875036693504,56.88643264770508,17.004419326782227,0.09975307434797287,0.018112000077962875
43733079289895424,56.55852127075195,17.154375076293945,0.015782078728079796,0.017264999449253082
43803894713689216,57.622737884521484,17.52899169921875,0.08661407232284546,0.010623849928379059
43931987817367040,54.758995056152344,16.082576751708984,0.08859607577323914,0.01224995031952858
44052178182130816,55.51918411254883,16.42165184020996,-0.29185691475868225,0.01165585033595562
44113682113768320,55.88329315185547,17.036563873291016,-0.09038292616605759,0.011914899572730064
44210404777324544,53.942935943603516,16.562057495117188,-0.36884692311286926,0.014506150037050247
44262597219827840,53.82381057739258,16.715423583984375,-0.38011109828948975,0.014726250432431698
44388010264995200,55.19166564941406,17.57982635498047,-0.21684692800045013,0.012271749787032604
44479407168836992,56.15347671508789,17.150970458984375,-0.329476922750473,0.012840899638831615
44742327886759168,56.74474334716797,18.535490036010742,-0.39303693175315857,0.011713149957358837
44826470589322752,55.14181900024414,17.993038177490234,-0.21154692769050598,0.013427900150418282
44894472808190720,55.48194122314453,18.759809494018555,0.007489377167075872,0.01034628041088581
45404199528067200,61.0454216003418,15.806010246276855,-0.12026692181825638,0.012430049479007721
46188082598485376,60.25123596191406,16.142166137695312,-0.1852269321680069,0.0123947998508811
46229825383606144,60.7230110168457,16.52607536315918,-0.2369869202375412,0.011941599659621716
46241889948750208,60.3115348815918,16.244037628173828,-0.34295693039894104,0.010778900235891342
46335206700895872,61.10649871826172,16.830495834350586,-0.2291669249534607,0.013255300000309944
46389121427969280,61.06714630126953,17.03784942626953,-2.1908512115478516,0.29388999938964844
46401731451958144,60.921348571777344,17.065927505493164,-1.5354468822479248,0.01943949982523918
46458115782368384,59.813209533691406,16.664306640625,-0.05817992240190506,0.011319899931550026
46508036186376448,60.21677780151367,17.108238220214844,1.013288974761963,0.020224500447511673
46531748701629312,59.241493225097656,16.849220275878906,0.10606307536363602,0.011642499826848507
46554219970453888,59.68360900878906,17.1187744140625,-0.016665922477841377,0.010234175249934196
47247938791363200,61.58647155761719,19.027347564697266,-0.29091691970825195,0.012245300225913525
47275259079451008,61.655921936035156,19.153202056884766,-0.32115691900253296,0.01066915038973093
47345490384536576,64.7745361328125,17.573030471801758,-0.19390691816806793,0.013612099923193455
47558756984446464,65.20684814453125,18.58270263671875,-0.19510692358016968,0.010292804799973965
47715063730746880,64.6415786743164,18.36458396911621,-1.5072510242462158,0.02285750024020672
