source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,g_rp,phot_g_mean_mag,phot_g_mean_flux_over_error
77863462880768,44.660730046322826,0.021894077,0.5174706461824936,0.016328672,15.226840636607097,0.020826291,1.1677551,14.05522,1676.4814
83154862613888,44.937315650530685,0.015338632,0.6237932770156848,0.014955435,15.672103956026023,0.019432219,0.5779295,9.542494,6660.731
92603790642688,44.41500318632742,0.014307006,0.5679005443548504,0.013281359,10.969874447270998,0.018589059,0.5350876,9.920633,5403.6035
115727894578176,45.10561087170264,0.011867892,0.8123211433603595,0.011995911,10.390628064061831,0.014151007,0.6422453,10.882218,6837.6724
176475911875200,46.09756801472817,0.016417176,0.9405835567496246,0.015433418,12.056955797476,0.020897264,1.0181665,13.694,2654.953
290653322568704,44.44850159775912,0.06807452,0.7917886784873427,0.06322555,17.045755084229523,0.089437135,1.2530708,15.254455,1392.782
1127175513111936,43.57624102048379,0.07727935,1.266920145024314,0.085391395,15.104211266908395,0.10370909,1.3837013,16.744778,681.8437
9919042287151872,51.515637062896865,0.082001925,7.32661895405411,0.072905384,15.872558597718678,0.10117218,1.2458315,15.049575,1397.929
10127021782881280,52.11727859872012,0.07496767,8.219397422075502,0.05995852,14.939881327491495,0.08603658,1.7267351,16.203438,698.55347
10813357557424768,50.944366380686,0.045714065,8.083631442538644,0.03967355,26.076298063568952,0.050290577,1.3553867,15.950438,1058.4282
10862491983356800,51.109232912534274,0.027240947,8.171833964270432,0.026011964,12.086353887480378,0.03327637,1.1728458,14.903346,1750.6028
11000068375834368,49.69737802863476,0.0148567995,8.054747794289174,0.012475532,10.819693946638282,0.016730241,0.9941721,13.515606,3166.9517
11210487413640832,50.17834490751591,0.019306744,9.035802987286036,0.016340807,16.99670093357672,0.023044249,1.1870527,13.901377,2141.6072
12785366021729280,51.44081581740518,0.019589525,9.865453565644605,0.016855279,25.971693238368793,0.02555068,1.204318,13.151835,1464.3915
18565464288396416,39.07167733324421,0.035586603,6.8780898981735605,0.032272045,138.4370910355932,0.041985847,1.2362947,10.333128,1497.667
18818008365995520,41.26361304824301,0.025548343,7.333090450190991,0.022709206,12.97081176943193,0.030589929,1.2004471,14.4428,1101.9194
19007124366205696,40.815696817952904,0.064198546,7.4160334914466395,0.05834348,11.35230593921131,0.07242252,0.9889107,12.465633,1024.357
19107351722841216,40.87080836438907,0.031015402,7.877191305951924,0.028004913,14.332131585010847,0.036518425,1.1384029,15.105736,1541.8608
19115456325700736,40.92691522461769,0.15595801,8.032388325823423,0.14612027,17.8641139108341,0.18917754,0.673707,9.544544,2123.0408
19134255397972224,40.913092685443225,0.03051857,8.20324191583519,0.029227244,10.971923309436725,0.03394595,1.1294899,15.389822,1499.7009
19139851739930752,40.782475285952174,0.015326457,8.334921387830436,0.014133349,10.102807721252317,0.017682813,1.0157709,13.679279,2630.2341
19316224572460416,39.02838450657828,0.3217272,6.8933391075785275,0.21676202,138.34000380964673,0.31773403,0.6777978,5.4983196,1274.3495
19846189177062016,40.162713582230836,0.014796562,7.873276754818741,0.013781985,13.058432110920378,0.017816825,1.0696516,13.368768,2623.3638
19873367730098560,40.22669690377735,0.020652415,8.240286492654377,0.016358739,13.059575215616174,0.022137584,0.41803598,8.31803,4348.31
19898381619625216,40.20855016574617,0.023884539,8.34470954133939,0.016919954,11.253331822992632,0.02349258,1.0840969,13.816265,1537.32
19905219207554816,40.26048112063711,0.021207705,8.496730166022273,0.01838517,29.220749469398466,0.023901576,1.2026052,13.816709,1732.1661
20325503231692672,42.27028979722291,0.01623327,7.842651360597776,0.0143654,11.102141759514547,0.019158972,0.95323086,12.667167,2913.1353
20694526821675520,42.093521157998964,0.016087957,8.558947077138741,0.011306268,14.894124632662257,0.015250214,0.70868874,10.763823,5197.816
20720953756154624,42.0921738310099,0.021915596,8.867824195799942,0.022107348,15.54677978862847,0.026108062,1.2027407,14.3133335,1639.8217
21407255170182016,40.86282880106779,0.026858019,8.720248184069002,0.025046073,10.427418969387396,0.03179461,1.125351,14.866684,2018.6003
21460066088035584,41.00722194886967,0.016957007,9.177949043348374,0.01472461,15.609867282753578,0.019397376,0.74000454,10.965102,2350.2188
21593450592382976,41.63532323548307,0.024208924,9.664401648941432,0.021761581,10.677891191298402,0.026902692,1.0734615,14.64533,2544.669
23139844977481216,38.04540944357287,0.025357964,9.013765236648947,0.025910832,13.373648932434708,0.027735347,0.8986721,9.800943,1749.7295
24784984955103360,39.42579439848671,0.020251289,9.931215354511624,0.015413039,12.693028920943261,0.021111753,0.9072523,12.434838,2528.1865
25928137746066688,37.881181771290855,0.02830851,11.28003254967947,0.025326245,14.137300810409823,0.03213122,1.1563597,15.091268,1633.8938
28239998382321152,42.993314511673105,0.024347398,11.368015958592762,0.018686952,16.121099946511382,0.026116619,0.4661355,8.234732,3842.7786
30321099016072320,49.61317372318086,0.43925643,15.176106923971478,0.43833238,20.219630328202456,0.56563157,0.5751891,7.221677,6121.4863
33318539511972096,41.793398890186104,0.028418822,15.307327859481953,0.024669506,14.851073977550307,0.03535633,0.6296668,7.8236146,4179.509
36032512167916672,56.2976411159435,0.08815409,9.754944741802074,0.07537607,13.117972600773307,0.102017805,1.0069046,13.006291,1856.401
36164625361808128,56.35244595947063,0.013915791,10.673683121687649,0.010632962,18.89763656433152,0.015513023,0.644948,9.448895,5169.832
36629890579758592,58.143865737473725,0.024435207,11.260749098935696,0.018433833,28.871611480767395,0.02750342,1.1693497,12.613405,1963.171
36652911604373760,57.85574493752251,0.019612102,11.512284491490211,0.01171803,10.253009519375956,0.021920122,1.093195,13.916659,2631.509
36825260051452800,57.7495008083,0.015117791,11.991832152074851,0.009970129,12.651032971421753,0.016489895,1.0834761,13.388667,884.36664
36856557476150656,58.20624812215809,0.02614444,12.26160124714678,0.018268911,10.251365983086364,0.029326983,1.195653,14.928302,2726.94
36865220427191296,58.41558572845842,0.02320187,12.41664556833172,0.014430554,10.785399250018711,0.023815887,0.74963665,11.549573,3169.1497
37622955737490688,55.368028176216136,0.023238026,12.607559395728368,0.016896915,16.723703094359948,0.024346137,0.4160242,7.989245,2937.6687
37637077589965184,55.08506858036133,0.016922122,12.714034910775869,0.013965999,20.970368767105636,0.018011972,1.0558243,12.653177,3052.7815
37845057086241152,56.16501834565908,0.03264306,12.99416201666756,0.026082696,10.04856881446855,0.03526451,1.237401,15.337801,683.5657
38047435945302144,56.152606227946585,0.0146394055,13.307507571727673,0.011361544,12.626037698895713,0.016371904,1.0370102,13.263022,1287.8152
38098700674849152,55.309584836478784,0.022989804,13.384470843449972,0.01887981,12.294073306538301,0.02598953,1.154995,14.536296,2436.3452
38133610169061760,55.61040695094646,0.045550287,13.669664892493183,0.032970693,13.185671521498914,0.045483854,1.2208099,15.608816,1452.0792
38231324967885056,55.77587323176999,0.0783293,13.856432970866479,0.06536167,10.738206914959852,0.0947792,0.6645384,10.513511,2606.881
